# Constructed from biom file
OTU_ID	147-10	147-11	147-12	147-13	147-14	147-15	147-16	147-17	147-18	147-19	147-20	147-21	147-22	147-23	147-24	147-25	147-26	147-27	147-28	147-29	147-30	147-31	147-32	147-33	147-34	147-35	147-36	147-37	147-38	147-39	147-40	147-41	147-42	147-43	147-44	147-45	147-46	147-47	147-48	147-49	147-50	147-51	147-52	147-53	147-54	147-55	147-56	147-6	147-7	147-8	147-9	147D	147E	147F	147G	147H	165-10	165-11	165-12	165-13	165-14	165-15	165-16	165-17	165-18	165-19	165-20	165-21	165-22	165-23	165-24	165-25	165-26	165-27	165-28	165-29	165-30	165-31	165-32	165-33	165-34	165-35	165-36	165-37	165-38	165-39	165-40	165-41	165-42	165-43	165-44	165-45	165-46	165-47	165-48	165-49	165-50	165-51	165-52	165-53	165-54	165-55	165-56	165-57	165-58	165-59	165-60	165-61	165-8	165-9	165D	165E	165F	165G	165H	165I	165J
99deb3c5ecb022ec05609ebd1112a557	2128.0	2504.0	2094.0	8343.0	5726.0	1644.0	795.0	1536.0	3622.0	4515.0	2832.0	2941.0	1897.0	2099.0	1901.0	1111.0	1446.0	8774.0	8549.0	10876.0	7985.0	9816.0	16002.0	9396.0	11218.0	11635.0	10493.0	4092.0	2720.0	2589.0	5372.0	4653.0	7093.0	5023.0	5113.0	8947.0	9748.0	109.0	9008.0	707.0	310.0	12650.0	2728.0	8029.0	4000.0	3861.0	4493.0	4355.0	8870.0	8843.0	2609.0	9450.0	8725.0	8191.0	1427.0	891.0	367.0	197.0	1240.0	11055.0	11213.0	4985.0	12824.0	4734.0	5826.0	3240.0	5019.0	8177.0	125.0	10598.0	3409.0	5308.0	1850.0	173.0	723.0	663.0	660.0	8582.0	8440.0	4977.0	6286.0	6235.0	4046.0	5869.0	1387.0	7421.0	343.0	717.0	1891.0	1220.0	1834.0	1710.0	2337.0	7564.0	7463.0	7482.0	5541.0	8513.0	12179.0	959.0	7728.0	2007.0	8350.0	6368.0	4042.0	5139.0	2771.0	5956.0	2356.0	730.0	5862.0	1630.0	5306.0	328.0	1304.0	834.0	343.0
b15193fce14759d1c06728933e044af6	6766.0	16711.0	8795.0	58.0	24.0	7906.0	8887.0	11534.0	14588.0	12795.0	17318.0	23457.0	30836.0	34893.0	29475.0	14282.0	21193.0	6430.0	53.0	93.0	1205.0	500.0	1493.0	181.0	1560.0	1249.0	1607.0	10102.0	18345.0	11925.0	16954.0	14301.0	51.0	67.0	35.0	47.0	48.0	17028.0	11597.0	18353.0	16351.0	3266.0	9869.0	4535.0	8012.0	3439.0	4691.0	732.0	1629.0	435.0	9289.0	31.0	46.0	54.0	28895.0	28274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9d5054752ed33d6a22bd0f96b5618b1c	1421.0	2819.0	1940.0	1072.0	917.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	467.0	766.0	483.0	405.0	263.0	1251.0	446.0	2201.0	1624.0	1928.0	6565.0	3694.0	4666.0	4256.0	3110.0	2073.0	1423.0	1730.0	2771.0	2473.0	904.0	1025.0	1141.0	3151.0	1442.0	2462.0	1895.0	2520.0	3484.0	548.0	4224.0	6011.0	5617.0	4009.0	4840.0	3884.0	5300.0	5466.0	1874.0	3226.0	3885.0	4595.0	810.0	0.0	7991.0	2401.0	3892.0	7952.0	11866.0	8578.0	15470.0	2755.0	3603.0	3059.0	3148.0	5701.0	1839.0	1946.0	1361.0	1184.0	1404.0	2946.0	2091.0	2298.0	5853.0	4601.0	3543.0	3408.0	4515.0	4090.0	8984.0	10928.0	11817.0	4188.0	7822.0	2860.0	4441.0	2635.0	3967.0	3215.0	2064.0	17146.0	3939.0	9814.0	9709.0	4356.0	1858.0	2641.0	2364.0	1256.0	2314.0	3237.0	2657.0	3631.0	3088.0	5571.0	13073.0	11459.0	4599.0	5518.0	3254.0	5916.0	6978.0	4079.0	4919.0
7b28c20e72c6c95b3e604f0849245770	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14221.0	1818.0	2240.0	2317.0	1075.0	1118.0	3231.0	2747.0	5441.0	3886.0	3460.0	5679.0	7795.0	8310.0	6713.0	6912.0	8449.0	5905.0	7396.0	10989.0	5860.0	12271.0	8103.0	9248.0	11405.0	10130.0	11423.0	18916.0	19422.0	18792.0	14957.0	2997.0	5015.0	2540.0	4437.0	4336.0	1925.0	3421.0	3784.0	2443.0	3118.0	1388.0	4668.0	8806.0	7798.0	8034.0	7271.0	3576.0	3422.0	3511.0	4023.0	3879.0	18329.0	16030.0	9604.0	3547.0	4622.0	7605.0	7257.0	6816.0	7728.0
742e1f191223f58590661de80b9d6e3b	6229.0	4816.0	8833.0	320.0	79.0	7491.0	7371.0	10051.0	2748.0	2869.0	1921.0	3848.0	2293.0	2348.0	1432.0	918.0	1487.0	8202.0	8099.0	10719.0	7327.0	10304.0	3788.0	1729.0	3107.0	2614.0	2532.0	7809.0	5592.0	6936.0	12887.0	5473.0	97.0	103.0	133.0	168.0	125.0	1401.0	2903.0	2012.0	2100.0	1556.0	1617.0	4620.0	4063.0	3225.0	3055.0	1379.0	2738.0	2650.0	5652.0	8791.0	8284.0	6736.0	2369.0	1906.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	237.0	59.0	11.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	436.0	561.0	49.0	618.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
333bbf9224442fc10cd497377d2b1d01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	434.0	10945.0	10385.0	108.0	175.0	37.0	116.0	5004.0	2278.0	6570.0	4645.0	6437.0	432.0	349.0	705.0	640.0	1409.0	8562.0	10530.0	9380.0	7320.0	3882.0	1838.0	169.0	2256.0	265.0	435.0	1350.0	1527.0	1190.0	798.0	5117.0	5632.0	6890.0	6606.0	4746.0	8718.0	187.0	226.0	161.0	116.0	79.0	269.0	4085.0	659.0	725.0	477.0	5800.0	3033.0	2644.0	3445.0	3908.0	1090.0	1287.0	6465.0	7948.0	4175.0	6901.0	9219.0	6179.0	9479.0
3b010dbd9eae72a79f11af5d24eb3ca3	2256.0	2112.0	1081.0	658.0	1037.0	3952.0	3728.0	4942.0	6033.0	4241.0	8578.0	4264.0	2798.0	3647.0	5156.0	2697.0	2102.0	4064.0	4989.0	5307.0	3628.0	5036.0	11256.0	9603.0	7267.0	17406.0	6295.0	2081.0	534.0	780.0	1082.0	1113.0	1239.0	1452.0	662.0	2977.0	1516.0	986.0	463.0	3037.0	4114.0	3141.0	986.0	781.0	1620.0	543.0	992.0	7512.0	8804.0	7838.0	1067.0	3689.0	3751.0	7444.0	2982.0	2675.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
836cd5ea357ad392c00a7e48d921be1d	134.0	108.0	146.0	7459.0	6045.0	4448.0	4131.0	6215.0	744.0	717.0	400.0	620.0	148.0	125.0	132.0	60.0	110.0	2604.0	1189.0	490.0	575.0	1145.0	2415.0	1711.0	2487.0	1242.0	2935.0	67.0	40.0	86.0	40.0	103.0	7458.0	5559.0	5452.0	8837.0	10773.0	571.0	119.0	626.0	381.0	175.0	70.0	160.0	722.0	125.0	175.0	1210.0	1676.0	2215.0	118.0	209.0	288.0	564.0	63.0	408.0	871.0	148.0	236.0	1746.0	3012.0	3661.0	6041.0	1845.0	1511.0	2339.0	2139.0	2684.0	424.0	405.0	256.0	236.0	382.0	250.0	351.0	294.0	132.0	2143.0	2149.0	1393.0	2032.0	1980.0	1541.0	1850.0	2170.0	2327.0	1279.0	977.0	1505.0	891.0	1484.0	1167.0	852.0	7807.0	3121.0	3906.0	4161.0	4539.0	389.0	490.0	357.0	317.0	385.0	3896.0	2197.0	2114.0	2903.0	3897.0	1693.0	1185.0	1008.0	2762.0	1410.0	257.0	390.0	282.0	253.0
00a96fbd0ac34bfd245f9c24f8737f7d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	2214.0	1462.0	2295.0	1794.0	2353.0	2048.0	2568.0	492.0	3481.0	3100.0	3073.0	5537.0	17443.0	9254.0	10170.0	6932.0	3761.0	4061.0	3599.0	4419.0	0.0	0.0	0.0	0.0	0.0	0.0	807.0	281.0	448.0	291.0	422.0	842.0	761.0	747.0	224.0	0.0	1368.0	631.0	1200.0	593.0	1055.0	6467.0	7129.0	5913.0	497.0	4504.0	7383.0	5219.0	5386.0	4154.0	6059.0	66.0	76.0	509.0	0.0	540.0	8869.0	8138.0	6726.0	6316.0
d76d59ec71de0e3b22da0c9cd564d41a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	12.0	7.0	183.0	88.0	51.0	201.0	90.0	0.0	179.0	66.0	78.0	19255.0	14107.0	17751.0	5535.0	13136.0	2158.0	2300.0	2266.0	2473.0	24.0	173.0	34.0	73.0	9.0	0.0	0.0	9.0	0.0	18.0	6.0	17.0	0.0	24.0	6.0	0.0	73.0	15.0	99.0	41.0	99.0	25357.0	9811.0	21718.0	14495.0	14018.0	1109.0	298.0	328.0	988.0	430.0	22.0	10.0	10.0	0.0	6.0	92.0	232.0	1296.0	752.0
b7e5e417da183df1d5cb33a51a10991d	413.0	501.0	526.0	16312.0	10845.0	1230.0	1076.0	1771.0	270.0	232.0	123.0	254.0	169.0	227.0	149.0	98.0	131.0	828.0	830.0	1241.0	875.0	966.0	1206.0	778.0	1117.0	769.0	1143.0	469.0	306.0	385.0	507.0	559.0	17207.0	15528.0	15279.0	16968.0	21714.0	310.0	472.0	549.0	451.0	321.0	2506.0	5503.0	3796.0	3874.0	3429.0	695.0	1051.0	1222.0	357.0	834.0	933.0	1142.0	190.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9e3226efaf559eb14a478f880462cb8a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	252.0	457.0	42.0	1076.0	0.0	52.0	4507.0	7615.0	6577.0	6580.0	4604.0	464.0	300.0	467.0	368.0	538.0	14040.0	13292.0	15693.0	9942.0	475.0	357.0	347.0	223.0	460.0	0.0	145.0	107.0	13.0	19.0	54.0	164.0	104.0	120.0	87.0	189.0	0.0	0.0	0.0	7.0	0.0	1441.0	217.0	2409.0	518.0	690.0	9227.0	4479.0	4618.0	11692.0	9391.0	114.0	159.0	252.0	159.0	414.0	1601.0	3956.0	3576.0	4747.0
7eb7e0a0f11063aedff53f4b38a31b59	4367.0	5806.0	7860.0	1917.0	815.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	71.0	289.0	157.0	249.0	6357.0	8248.0	6140.0	5049.0	9382.0	1489.0	1799.0	2362.0	2618.0	2165.0	166.0	10354.0	426.0	528.0	4152.0	2707.0	8121.0	5479.0	7557.0	5704.0	39.0	58.0	184.0	5936.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f479c23321346918723839e33a3544f4	275.0	961.0	835.0	404.0	227.0	651.0	358.0	486.0	113.0	73.0	61.0	250.0	283.0	244.0	184.0	121.0	101.0	4621.0	3136.0	3983.0	3201.0	3973.0	4587.0	2533.0	4845.0	3858.0	3473.0	691.0	331.0	382.0	3128.0	501.0	434.0	281.0	374.0	1183.0	212.0	146.0	211.0	332.0	296.0	167.0	96.0	47.0	239.0	65.0	85.0	2611.0	4190.0	4333.0	713.0	3362.0	4216.0	1087.0	307.0	179.0	650.0	1380.0	1301.0	160.0	212.0	160.0	192.0	145.0	334.0	85.0	139.0	132.0	190.0	325.0	182.0	145.0	247.0	330.0	291.0	453.0	387.0	3009.0	3184.0	2290.0	1770.0	2737.0	749.0	716.0	887.0	1083.0	806.0	255.0	556.0	286.0	585.0	523.0	449.0	394.0	386.0	350.0	202.0	234.0	211.0	337.0	344.0	120.0	203.0	669.0	342.0	435.0	707.0	680.0	1484.0	1787.0	1921.0	794.0	2459.0	175.0	295.0	169.0	248.0
